Word,Alternate Spellings,Syllables,Meaning (Tamil),Meaning (English),Related Words,,
a,,1,,,,,
a aa,,2,,,,,
ahkam,,2,,,,,
ahkal,,2,,,,,
ahkaamai,,3,,,,,
ahkaan,,2,,,,,
ahkiya aRivu,,6,,,,,
ahku,,2,,,,,
ahkudhal,,3,,,,,
ahgaenam,,3,,,,,
ahdhaandRu,,3,,,,,
ahdhu,,2,,,,,
ahdhae,,2,,,,,
ahdhai,,2,,,,,
ahpoadham,,3,,,,,
ahRiNai,,3,,,,,
akkakkaay,,3,,,,,
akkasaalai,,4,,,,,
akkasaalaiyar,,5,,,,,
akkada,,3,,,,,
akkadaa,,3,,,,,
akkadaavendRu,,5,,,,,
akkadhai,,3,,,,,
akkappoar,,3,,,,,
akkam,,2,,,,,
akkampakkam,,4,,,,,
akkamaNi,,4,,,,,
akkamaalai,,4,,,,,
akkarachchudhagam,,,,,,,
akkaram,,,,,,,
akkarai,,,,,,,
akkaraichcheemai,,,,,,,
akkaraippachai,,,,,,,
akkaraippadu,,,,,,,
akkaRai,,,,,,,
akkaRaippadu,,,,,,,
akkaa,,,,,,,
akkaakkaay,,,,,,,
akkaaram,,,,,,,
akkaaravadisal,,,,,,,
akkaaL,,,,,,,
aggirapoojai,,,,,,,
akkiramam,,,,,,,
akkiraasanam,,,,,,,
akkiraasanar,,,,,,,
akkiraajanaadhipadhi,,,,,,,
akkilu,,,,,,,
akkiL,,,,,,,
aggini,,,,,,,
agginikkiriyai,,,,,,,
agginikkuNdam,,,,,,,
agginisaatchi,,,,,,,
agginithambam,,,,,,,
agginithamban,,,,,,,
agginithirayam,,,,,,,
agginiththraavagam,,,,,,,
agginiththisai,,,,,,,
agginiththaevan,,,,,,,
aggininatchathiram,,,,,,,
agginivaaganam,,,,,,,
akkuththu,,,,,,,
akkuroaNi,,,,,,,
akkuL,,,,,,,
agńikriyai,,,,,,,
agńikuNdam,,,,,,,
agńisaatchi,,,,,,,
agńiththambam,,,,,,,
agńiththamban,,,,,,,
agńiththambanam,,,,,,,
agńiththirayam,,,,,,,
agńithrayam,,,,,,,
agńidhisai,,,,,,,
agńidhiraavagam,,,,,,,
agńidhaevan,,,,,,,
agńińakshathram,,,,,,,
agńińatchaththiram,,,,,,,
agńipravaesam,,,,,,,
agńivaaganam,,,,,,,
agńivaahanam,,,,,,,
akrapoojai,,,,,,,
akramam,,,,,,,
agrahaaram,,,,,,,
agraasanam,,,,,,,
agraasanar,,,,,,,
agraajanaadhipadhi,,,,,,,
akruthyam,,,,,,,
agakkaN,,,,,,,
agakkaazh,,,,,,,
agangari,,,,,,,
agangaaram,,,,,,,
agangaari,,,,,,,
agangaazh,,,,,,,
agangai,,,,,,,
agachchuttu,,,,,,,
agasiyam,,,,,,,
agasu,,,,,,,
agadam,,,,,,,
agadavigadam,,,,,,,
agadithagadanaa,,,,,,,
agaditham,,,,,,,
agadiyam,,,,,,,
agadu,,,,,,,
agadoori,,,,,,,
agaNdakaavaeri,,,,,,,
agaNdadheepam,,,,,,,
agaNdaparipooraNam,,,,,,,
agaNdam,,,,,,,
agaNdaakaaram,,,,,,,
agandi,,,,,,,
agaththadimai,,,,,,,
agaththadiyaaL,,,,,,,
agaththi,,,,,,,
agaththiNai,,,,,,,
agaththiyam,,,,,,,
agaththiyan,,,,,,,
agaththuRuppu,,,,,,,
agaththuRai,,,,,,,
agadhan,,,,,,,
agadhi,,,,,,,
agańdhai,,,,,,,
agańagar,,,,,,,
agańagai,,,,,,,
agańaanooRu,,,,,,,
agappagai,,,,,,,
agappadu,,,,,,,
agappaNi,,,,,,,
agappatRu,,,,,,,
agappaa,,,,,,,
agappaattu,,,,,,,
agappu,,,,,,,
agappai,,,,,,,
agapporul,,,,,,,
agam,,,,,,,
agampadiyaar,,,,,,,
agambaavam,,,,,,,
agamudaiyaaL,,,,,,,
agamudaiyaan,,,,,,,
agar,,,,,,,
agarNam,,,,,,,
agarńisam,,,,,,,
agarmaNi,,,,,,,
agarmugam,,,,,,,
agaram,,,,,,,
agaraadhi,,,,,,,
agaru,,,,,,,
agal,,,,,,,
agalakkavi,,,,,,,
agalakkaal vai,,,,,,,
agalam,,,,,,,
agalavurai,,,,,,,
agalidam,,,,,,,
agavadi,,,,,,,
agaval,,,,,,,
agavaloasai,,,,,,,
agavaRpaa,,,,,,,
agavanmagaL,,,,,,,
agavidhazh,,,,,,,
agaviruL,,,,,,,
agavilai,,,,,,,
agavu,,,,,,,
agavai,,,,,,,
agazh,,,,,,,
agazhi,,,,,,,
agazheli,,,,,,,
agaLangam,,,,,,,
agaLangan,,,,,,,
agaLam,,,,,,,
agaRchi,,,,,,,
agatRu,,,,,,,
agandRil,,,,,,,
aganaińdhiNai,,,,,,,
agaadham,,,,,,,
akaaraNam,,,,,,,
akaaraNan,,,,,,,
akaaram,,,,,,,
akaariyam,,,,,,,
akaalaboajanam,,,,,,,
akaalamaraNam,,,,,,,
akaalam,,,,,,,
aki,,,,,,,
akithalam,,,,,,,
akipadhi,,,,,,,
agimsai,,,,,,,
akiruththiyam,,,,,,,
agil,,,,,,,
agilam,,,,,,,
agilaaNdam,,,,,,,
agai,,,,,,,
agoaram,,,,,,,
agoaran,,,,,,,
agoaraaththiram,,,,,,,
agowravam,,,,,,,
angageenam,,,,,,,
angageenan,,,,,,,
angasan,,,,,,,
angasaettai,,,,,,,
angaN,,,,,,,
angaNam,,,,,,,
angaNan,,,,,,,
angaththavar,,,,,,,
angaththinar,,,,,,,
angadhachcheyyuL,,,,,,,
angadham,,,,,,,
angappiradhatchiNam,,,,,,,
angapradhakshiNam,,,,,,,
angam,,,,,,,
angamaalai,,,,,,,
angalaay,,,,,,,
angavadi,,,,,,,
angavaththiram,,,,,,,
angavasthiram,,,,,,,
angaviyal,,,,,,,
angaveenam,,,,,,,
angaveenan,,,,,,,
anganai,,,,,,,
angaheenam,,,,,,,
angaheenan,,,,,,,
angaa,,,,,,,
angaadi,,,,,,,
angaadikkooli,,,,,,,
angaadippaattam,,,,,,,
angaappu,,,,,,,
angaaragan,,,,,,,
angi,,,,,,,
angigaaram,,,,,,,
angiyangadavuL,,,,,,,
angeegaraNam,,,,,,,
angeegari,,,,,,,
angeegariththal,,,,,,,
angeegaaram,,,,,,,
angu,,,,,,,
angusapaaNi,,,,,,,
angus,,,,,,,
anguttam,,,,,,,
anguththai,,,,,,,
anguram,,,,,,,
anguraarppaNam,,,,,,,
anguri,,,,,,,
angulam,,,,,,,
anguli,,,,,,,
anguligam,,,,,,,
anguliyam,,,,,,,
angushtam,,,,,,,
angae,,,,,,,
angai,,,,,,,
angnganam,,,,,,,
achchagam,,,,,,,
achchadi,,,,,,,
achchadaiyaaLam,,,,,,,
achcham,,,,,,,
achchamaadal,,,,,,,
achchan,,,,,,,
achchaaNi,,,,,,,
achchaaram,,,,,,,
achchaaniyam,,,,,,,
achichiram,,,,,,,
achchu,,,,,,,
