english,tamil,syllables
a,அ,1
a aa,அ ஆ,2
ahkam,அஃகம்,3
ahkal,அஃகல்,3
ahkaamai,அஃகாமை,3
ahkaan,அஃகான்,3
ahkiya aRivu,அஃகிய அறிவு,6
ahku,அஃகு,2
ahkudhal,அஃகுதல்,4
ahgaenam,அஃகேனம்,4
ahdhaandRu,அஃதான்ன்று,3
ahdhu,அஃது,2
ahdhae,அஃதே,2
ahdhai,அஃதை,2
ahpoadham,அஃபோதம்,4
ahRiNai,அஃறிணை,3
akkakkaay,அக்கக்காய்,4
akkasaalai,அக்கசாலை,4
akkasaalaiyar,அக்கசாலையர்,6
akkada,அக்கட,3
akkadaa,அக்கடா,3
akkadaavendRu,அக்கடாவென்ன்று,5
akkadhai,அக்கதை,3
akkappoar,அக்கப்போர்,4
akkam,அக்கம்,3
akkampakkam,அக்கம்பக்கம்,5
akkamaNi,அக்கமணி,4
akkamaalai,அக்கமாலை,4
akkarachchudhagam,அக்கரச்சுதகம்,7
akkaram,அக்கரம்,4
akkarai,அக்கரை,3
akkaraichcheemai,அக்கரைச்சீமை,5
akkaraippachai,அக்கரைப்பசை,5
akkaraippadu,அக்கரைப்படு,5
akkaRai,அக்கறை,3
akkaRaippadu,அக்கறைப்படு,5
akkaa,அக்கா,2
akkaakkaay,அக்காக்காய்,4
akkaaram,அக்காரம்,4
akkaaravadisal,அக்காரவடிசல்,7
akkaaL,அக்காள்,3
aggirapoojai,அக்கிரபூஜை,5
akkiramam,அக்கிரமம்,5
akkiraasanam,அக்கிராசனம்,6
akkiraasanar,அக்கிராசனர்,6
akkiraajanaadhipadhi,அக்கிராஜனாதிபதி,8
akkilu,அக்கிலு,3
akkiL,அக்கிள்,3
aggini,அக்கினி,3
agginikkiriyai,அக்கினிக்கிரியை,6
agginikkuNdam,அக்கினிக்குண்டம்,6
agginisaatchi,அக்கினிசாட்சி,5
agginithambam,அக்கினிதம்பம்,6
agginithamban,அக்கினிதம்பன்,6
agginithirayam,அக்கினிதிரயம்,7
agginiththraavagam,அக்கினித்த்ராவகம்,7
agginiththisai,அக்கினித்திசை,5
agginiththaevan,அக்கினித்தேவன்,6
aggininatchathiram,அக்கினினட்சதிரம்,8
agginivaaganam,அக்கினிவாகனம்,7
akkuththu,அக்குத்து,3
akkuroaNi,அக்குரோணி,4
akkuL,அக்குள்,3
agńikriyai,அக்நிக்ரியை,4
agńikuNdam,அக்நிகுண்டம்,5
agńisaatchi,அக்நிசாட்சி,4
agńiththambam,அக்நித்தம்பம்,5
agńiththamban,அக்நித்தம்பன்,5
agńiththambanam,அக்நித்தம்பனம்,6
agńiththirayam,அக்நித்திரயம்,6
agńithrayam,அக்நித்ரயம்,5
agńidhisai,அக்நிதிசை,4
agńidhiraavagam,அக்நிதிராவகம்,7
agńidhaevan,அக்நிதேவன்,5
